protein	seq_len	score	analysis	signature_acc	signature_desc	interpro_acc	interpro_desc	product	region	note	db_xref
AYN62282.1	429	3.1e-14	Gene3D	G3DSA:3.40.50.1110	SGNH hydrolase	IPR036514	SGNH hydrolase superfamily	SxtL	TesA	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK [Cell cycle control, cell division, chromosome partitioning, Lipid transport and metabolism]	CDD:442045
AYN62282.1	429	6.87e-16	SUPERFAMILY	SSF52266	SGNH hydrolase	-	-	SxtL	TesA	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK [Cell cycle control, cell division, chromosome partitioning, Lipid transport and metabolism]	CDD:442045
AYN62282.1	429	8.14526e-09	CDD	cd00229	SGNH_hydrolase	-	-	SxtL	TesA	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK [Cell cycle control, cell division, chromosome partitioning, Lipid transport and metabolism]	CDD:442045
AYN62259.1	184	2.6e-16	PANTHER	PTHR48419	SULFOTRANSFERASE DOMAIN-CONTAINING PROTEIN	IPR053226	Pyrrolopyrazine biosynthesis cluster protein F	truncated SxtN	Sulfotransfer_5	Sulfotransferase domain	CDD:437630
AYN62259.1	184	2.2e-05	Pfam	PF19798	Sulfotransferase domain	-	-	truncated SxtN	Sulfotransfer_5	Sulfotransferase domain	CDD:437630
AYN62259.1	184	1.4e-06	Gene3D	G3DSA:3.40.50.300	-	IPR027417	P-loop containing nucleoside triphosphate hydrolase	truncated SxtN	Sulfotransfer_5	Sulfotransferase domain	CDD:437630
AYN62259.1	184	1.02e-05	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	IPR027417	P-loop containing nucleoside triphosphate hydrolase	truncated SxtN	Sulfotransfer_5	Sulfotransferase domain	CDD:437630
AYN62288.1	485	3.3e-18	Pfam	PF01554	MatE	IPR002528	Multi antimicrobial extrusion protein	SxtM3	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
AYN62288.1	485	2.4e-19	Pfam	PF01554	MatE	IPR002528	Multi antimicrobial extrusion protein	SxtM3	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
AYN62288.1	485	3.1e-50	NCBIfam	TIGR00797	MATE family efflux transporter	IPR002528	Multi antimicrobial extrusion protein	SxtM3	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
AYN62288.1	485	1.4e-71	PANTHER	PTHR43298	MULTIDRUG RESISTANCE PROTEIN NORM-RELATED	IPR050222	Multi Antimicrobial Extrusion (MATE)	SxtM3	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
AYN62288.1	485	1.03877e-122	CDD	cd13131	MATE_NorM_like	-	-	SxtM3	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
AYN62283.1	302	3e-66	Gene3D	G3DSA:3.40.50.300	-	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SxtSUL	Sulfotransfer_3	Sulfotransferase family	CDD:463887
AYN62283.1	302	2e-09	Pfam	PF00685	Sulfotransferase domain	IPR000863	Sulfotransferase domain	SxtSUL	Sulfotransfer_3	Sulfotransferase family	CDD:463887
AYN62283.1	302	2.46e-60	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SxtSUL	Sulfotransfer_3	Sulfotransferase family	CDD:463887
AYN62283.1	302	1e-29	PANTHER	PTHR10605	HEPARAN SULFATE SULFOTRANSFERASE	IPR037359	Heparan sulfate sulfotransferase	SxtSUL	Sulfotransfer_3	Sulfotransferase family	CDD:463887
AYN62279.1	612	4e-119	Pfam	PF02543	Carbamoyltransferase N-terminus	IPR003696	Carbamoyltransferase	SxtI	COG2192	Predicted carbamoyl transferase, NodU family [General function prediction only]	CDD:441795
AYN62279.1	612	1.59e-19	SUPERFAMILY	SSF53067	Actin-like ATPase domain	IPR043129	ATPase, nucleotide binding domain	SxtI	COG2192	Predicted carbamoyl transferase, NodU family [General function prediction only]	CDD:441795
AYN62279.1	612	2.50655e-129	CDD	cd24098	ASKHA_NBD_TobZ_N	-	-	SxtI	COG2192	Predicted carbamoyl transferase, NodU family [General function prediction only]	CDD:441795
AYN62279.1	612	2.7e-107	Gene3D	G3DSA:3.30.420.40	-	-	-	SxtI	COG2192	Predicted carbamoyl transferase, NodU family [General function prediction only]	CDD:441795
AYN62279.1	612	1.4e-71	Pfam	PF16861	Carbamoyltransferase C-terminus	IPR031730	Carbamoyltransferase, C-terminal	SxtI	COG2192	Predicted carbamoyl transferase, NodU family [General function prediction only]	CDD:441795
AYN62279.1	612	0.0	PANTHER	PTHR34847	NODULATION PROTEIN U	IPR051338	NodU/CmcH Carbamoyltransferase	SxtI	COG2192	Predicted carbamoyl transferase, NodU family [General function prediction only]	CDD:441795
AYN62279.1	612	8.5e-86	Gene3D	G3DSA:3.90.870.20	-	IPR038152	Carbamoyltransferase, C-terminal domain superfamily	SxtI	COG2192	Predicted carbamoyl transferase, NodU family [General function prediction only]	CDD:441795
AYN62268.1	120	9.9e-29	Pfam	PF19454	Family of unknown function (DUF5992)	IPR046034	Protein of unknown function DUF5992	SxtE	DUF5992	Family of unknown function (DUF5992)	CDD:437286
AYN62267.1	1239	0.0012	Pfam	PF00550	Phosphopantetheine attachment site	IPR009081	Phosphopantetheine binding ACP domain	SxtA	BioF	7-keto-8-aminopelargonate synthetase or related enzyme [Coenzyme transport and metabolism]	CDD:439926
AYN62267.1	1239	1.23e-10	SUPERFAMILY	SSF55729	Acyl-CoA N-acyltransferases (Nat)	IPR016181	Acyl-CoA N-acyltransferase	SxtA	BioF	7-keto-8-aminopelargonate synthetase or related enzyme [Coenzyme transport and metabolism]	CDD:439926
AYN62267.1	1239	4.1e-58	PANTHER	PTHR13693	CLASS II AMINOTRANSFERASE/8-AMINO-7-OXONONANOATE SYNTHASE	IPR050087	8-amino-7-oxononanoate synthase class-II	SxtA	BioF	7-keto-8-aminopelargonate synthetase or related enzyme [Coenzyme transport and metabolism]	CDD:439926
AYN62267.1	1239	1.06e-77	SUPERFAMILY	SSF53383	PLP-dependent transferases	IPR015424	Pyridoxal phosphate-dependent transferase	SxtA	BioF	7-keto-8-aminopelargonate synthetase or related enzyme [Coenzyme transport and metabolism]	CDD:439926
